rast-p04.aig 0.35
a16-p041.aig 0.63
qspiflash_dualflexpress_divfive-p060.aig 1.45
cal112.aig 2648.95
a16-p085.aig 0.30
yosyshq_appnote_123_cv32e40x-p573.aig 2716.43
cal220.aig Timeout
yosyshq_appnote_123_cv32e40x-p584.aig 3519.80
qspiflash_dualflexpress_divthree-p136.aig 14.00
ILA_Flute_AND_problem.aig Timeout
zipcpu-zipmmu-p00.aig Timeout
circular_pointer_top_w32_d32_e0.aig Timeout
pgm_protocol.3.prop5-func-interl.aig Timeout
yosyshq_appnote_123_cv32e40x-p299.aig Timeout
ILA_Flute_SB_sanity.aig Timeout
processed_hl_arr_access_128_bv.aig Timeout
picorv32_mutCY_nomem-p0.aig Timeout
arbitrated_top_n3_w64_d128_e0.aig Timeout
yosyshq_appnote_123_cv32e40x-p363.aig Timeout
ridecore.aig Timeout
picorv32_mutCX_nomem-p8.aig Timeout
yosyshq_appnote_123_cv32e40x-p364.aig Timeout
picorv32_mutCX_nomem-p0.aig Timeout
qspiflash_qflexpress_divfive-p064.aig 0.57
cal224.aig Timeout
a10-p34.aig Timeout
qspiflash_dualflexpress_divfive-p017.aig 0.12
marlann_compute_cp_pass-p2.aig 0.33
cal205.aig Timeout
a10-p41.aig 2.54
qspiflash_dualflexpress_divthree-p071.aig 0.29
dspfilters_fastfir_second-p15.aig Timeout
qspiflash_dualflexpress_divfive-p143.aig 0.12
elevator_spec1_product19.cil.aig Timeout
picorv32_mutCY_nomem-p4.aig Timeout
cal26.aig 5.33
gen32.aig 0.11
qspiflash_qflexpress_divfive-p079.aig 7.03
picorv32_mutCX_nomem-p2.aig Timeout
lcm1_valuebound100.aig Timeout
zipcpu-zipmmu-p24.aig Timeout
mod3.c.v+sep-reducer.aig 12.39
circular_pointer_top_w128_d64_e0.aig Timeout
qspiflash_dualflexpress_divthree-p069.aig 16.77
egcd3-ll_unwindbound2.aig 17.23
qspiflash_qflexpress_divfive-p029.aig 2.40
Problem05_label42+token_ring.08.cil-2.aig 30.11
pals_lcr-var-start-time.5.1.ufo.UNBOUNDED.pals.aig Timeout
qspiflash_dualflexpress_divthree-p077.aig 0.12
ponylink-slaveTXlen-unsat.aig Timeout
yosyshq_appnote_123_cv32e40x-p500.aig 37.12
simple_vardep_1.aig 0.53
vis_arrays_vsa16a_p6.aig 0.47
mul7.aig 4.14
rast-p14.aig Timeout
anderson.3.prop1-back-serstep.aig 0.22
arbitrated_top_n2_w8_d16_e0.aig 32.19
circular_pointer_top_w128_d128_e0.aig Timeout
vcegar_QF_BV_usb_phy_1.aig 0.98
qspiflash_dualflexpress_divfive-p054.aig 45.57
picorv32_mutAY_nomem-p6.aig Timeout
qspiflash_qflexpress_divfive-p072.aig 0.62
cal228.aig Timeout
yosyshq_appnote_123_cv32e40x-p388.aig Timeout
rocket_1961.aig Timeout
picorv32-check-p05.aig 8.70
VexRiscv-regch0-30-p1.aig Timeout
shift_register_top_w32_d128_e0.aig Timeout
zipcpu-zipmmu-p49.aig 0.20
zipcpu-zipmmu-p32.aig 0.32
yosyshq_appnote_123_veer_axi-p23.aig 34.31
qspiflash_dualflexpress_divthree-p134.aig 122.13
cal146.aig 121.15
Problem10_label07.aig 24.09
qspiflash_dualflexpress_divthree-p111.aig 7.65
cal39.aig 2.89
qspiflash_qflexpress_divfive-p075.aig 71.24
ILA_Ridecore_SW_problem.aig Timeout
ILA_Piccolo_BGEU_sanity.aig 228.83
stack-p2.aig 0.90
zipversa_composecrc_prf-p10.aig 15.07
ILA_Piccolo_SRLI_sanity.aig 238.92
rast-p16.aig 2.16
zipcpu-pfcache-p25.aig 1.56
dspfilters_fastfir_second-p17.aig Timeout
zipcpu-busdelay-p42.aig 0.48
dspfilters_fastfir_second-p04.aig 4.95
vis_arrays_buf_bug.aig 14.10
deep-nested.aig Timeout
