a19-p15.btor 0.24
pals_opt-floodmax.4.3.ufo.UNBOUNDED.pals.btor 1330.57
circular_pointer_top_w32_d16_e0.btor Timeout
zipcpu-busdelay-p02.btor 1497.43
zipcpu-zipmmu-p10.btor Timeout
qspiflash_dualflexpress_divthree-p111.btor Timeout
yosyshq_appnote_123_cv32e40x-p377.btor Timeout
qspiflash_qflexpress_divfive-p075.btor Timeout
pc_sfifo_2.cil-1+token_ring.13.cil-1.btor 1526.98
qspiflash_dualflexpress_divfive-p082.btor 1123.83
dspfilters_fastfir_second-p30.btor Timeout
zipversa_composecrc_prf-p10.btor Timeout
qspiflash_dualflexpress_divthree-p132.btor 0.12
shift_register_top_w16_d128_e0.btor Timeout
qspiflash_dualflexpress_divfive-p142.btor 0.12
picorv32_mutBY_nomem-p8.btor Timeout
rast-p16.btor Timeout
cal107.btor Failed
pc_sfifo_2.cil-1+token_ring.11.cil-2.btor Timeout
vis_arrays_buf_bug.btor Timeout
rocket_1951.btor Timeout
arbitrated_top_n4_w64_d32_e0.btor Timeout
freire1_valuebound1.btor Timeout
vgasim_imgfifo-p058.btor Timeout
Problem10_label08.btor 58.59
collision.6.prop1-func-interl.btor Timeout
picorv32_mutBY_nomem-p7.btor Timeout
arbitrated_top_n3_w16_d16_e0.btor Timeout
zipcpu-pfcache-p16.btor 50.64
arbitrated_top_n5_w64_d8_e0.btor Timeout
dijkstra-u_valuebound1.btor Timeout
qspiflash_dualflexpress_divfive-p136.btor 638.13
cal21.btor 0.45
qspiflash_qflexpress_divfive-p057.btor 0.11
cal129.btor Timeout
zipcpu-busdelay-p45.btor 90.51
gcd_4+newton_3_3.btor Timeout
zipcpu-busdelay-p46.btor 1077.29
zipcpu-busdelay-p36.btor Timeout
yosyshq_appnote_123_cv32e40x-p665.btor Timeout
qspiflash_dualflexpress_divfive-p012.btor 824.48
pc_sfifo_3.cil+token_ring.08.cil-2.btor 1196.39
yosyshq_appnote_123_cv32e40x-p315.btor Timeout
Problem18_label15.btor Timeout
cambridge.7.prop2-back-serstep.btor Timeout
yosyshq_appnote_123_cv32e40x-p568.btor Timeout
dspfilters_fastfir_second-p42.btor Timeout
qspiflash_dualflexpress_divfive-p050.btor 395.61
mul3.btor Timeout
93.c.btor Timeout
pc_sfifo_3.cil+token_ring.04.cil-1.btor Timeout
yosyshq_appnote_123_cv32e40x-p365.btor Timeout
cal84.btor 3272.57
analog_estimation_convergence_unsafe.btor 0.21
yosyshq_appnote_123_cv32e40x-p250.btor 47.86
qspiflash_dualflexpress_divfive-p009.btor 166.56
a16-p152.btor 6.44
yosyshq_appnote_123_veer_axi-p31.btor 802.15
qspiflash_qflexpress_divfive-p067.btor Timeout
shift_register_top_w8_d128_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p340.btor Timeout
yosyshq_appnote_123_cv32e40x-p281.btor Timeout
a10-p04.btor Timeout
circular_pointer_top_w16_d64_e0.btor Timeout
arbitrated_top_n4_w8_d64_e0.btor Timeout
yosyshq_appnote_123_cv32e40x-p465.btor Timeout
yosyshq_appnote_123_cv32e40x-p266.btor Timeout
yosyshq_appnote_123_cv32e40x-p698.btor Timeout
qspiflash_dualflexpress_divthree-p050.btor 247.56
arbitrated_top_n5_w64_d64_e0.btor Timeout
cal93.btor Timeout
arbitrated_top_n3_w128_d128_e0.btor Timeout
zipcpu-busdelay-p18.btor 6.49
qspiflash_qflexpress_divfive-p058.btor 367.66
dspfilters_fastfir_second-p22.btor Timeout
qspiflash_dualflexpress_divfive-p040.btor 443.23
cal209.btor Timeout
yosyshq_appnote_123_veer_axi-p62.btor Failed
vgasim_imgfifo-p047.btor 35.36
xepic_a17-p02.btor Timeout
arbitrated_top_n2_w32_d32_e0.btor Timeout
trex02-1.btor 0.02
zipcpu-pfcache-p22.btor 78.78
Problem101_label01.btor Timeout
loop3.btor Timeout
qspiflash_dualflexpress_divfive-p070.btor Timeout
a11.btor Timeout
yosyshq_appnote_123_cv32e40x-p753.btor Timeout
qspiflash_dualflexpress_divthree-p141.btor 1039.37
shift_register_top_w16_d32_e0.btor Timeout
qspiflash_dualflexpress_divthree-p153.btor Timeout
shift_register_top_w32_d16_e0.btor 1725.77
cal156.btor Failed
picorv32-check-p18.btor 40.63
ILA_Flute_SLTI_problem.btor Timeout
gen53.btor 1.00
shift_register_top_w64_d32_e0.btor Timeout
zipversa_composecrc_prf-p21.btor 2.32
brp.2.prop1-func-interl.btor Timeout
arbitrated_top_n4_w32_d16_e0.btor Timeout
qspiflash_qflexpress_divfive-p107.btor Timeout
picorv32_mutCX_nomem-p1.btor Timeout
elevator.3.prop1-back-serstep.btor 28.24
frogs.2.prop1-back-serstep.btor 1408.26
ILA_Ridecore_ANDI_sanity.btor Timeout
qspiflash_dualflexpress_divfive-p128.btor 900.91
rocket_2067.btor 1062.11
AllInterval-019.btor Timeout
vcegar_QF_BV_itc99_b13_p10.btor 0.41
qspiflash_qflexpress_divfive-p100.btor Timeout
rast-p18.btor 0.82
paper_v3.btor 0.05
a10-p06.btor Timeout
picorv32_mutAY_nomem-p1.btor Timeout
qspiflash_dualflexpress_divfive-p063.btor Timeout
qspiflash_qflexpress_divfive-p137.btor Timeout
cal144.btor Failed
yosyshq_appnote_123_cv32e40x-p246.btor Timeout
cal90.btor Timeout
yosyshq_appnote_123_cv32e40x-p359.btor Timeout
Problem05_label46+token_ring.12.cil-1.btor Timeout
zipversa_composecrc_prf-p17.btor Timeout
mul9.btor Timeout
qspiflash_dualflexpress_divthree-p076.btor 552.87
yosyshq_appnote_123_cv32e40x-p429.btor Timeout
yosyshq_appnote_123_cv32e40x-p220.btor 49.11
dspfilters_fastfir_second-p43.btor Timeout
cal142.btor Timeout
dspfilters_fastfir_second-p32.btor Timeout
yosyshq_appnote_123_cv32e40x-p545.btor Timeout
gen44.btor 0.92
vgasim_imgfifo-p020.btor 0.11
intersymbol_analog_estimation_convergence.btor Timeout
picorv32_mutCY_nomem-p5.btor Timeout
qspiflash_dualflexpress_divthree-p119.btor 1265.84
zipcpu-pfcache-p15.btor 161.14
arbitrated_top_n3_w8_d16_e0.btor Timeout
cal110.btor Failed
yosyshq_appnote_123_cv32e40x-p142.btor Timeout
qspiflash_dualflexpress_divthree-p085.btor 567.53
cal81.btor 245.79
qspiflash_dualflexpress_divfive-p126.btor Timeout
yosyshq_appnote_123_cv32e40x-p019.btor Timeout
shift_register_top_w16_d8_e0.btor 32.46
zipcpu-busdelay-p43.btor 1.47
vis_arrays_two_p1.btor Timeout
gen31.btor 1.08
a16-p139.btor 48.72
cal40.btor 27.02
telephony.6.prop1-func-interl.btor Timeout
qspiflash_dualflexpress_divfive-p059.btor Timeout
cal203.btor Timeout
shift_register_top_w128_d32_e0.btor Timeout
byte_add_1-1.btor Timeout
a10-p30.btor 1107.16
peg_solitaire.3.prop1-back-serstep.btor Timeout
qspiflash_dualflexpress_divfive-p097.btor 1253.02
cal87.btor Timeout
yosyshq_appnote_123_cv32e40x-p156.btor Timeout
hard-ll_valuebound20.btor Timeout
circular_pointer_top_w8_d16_e0.btor Timeout
cal5.btor 1.04
arbitrated_top_n5_w128_d16_e0.btor Timeout
a03.btor Timeout
cal119.btor Timeout
phases_2-1.btor 0.44
vgasim_imgfifo-p107.btor Timeout
shift_register_top_w32_d8_e0.btor 44.70
gen112.btor 1.43
yosyshq_appnote_123_cv32e40x-p104.btor Timeout
ILA_Piccolo_BEQ_sanity.btor 1651.82
zipcpu-busdelay-p24.btor Timeout
ILA_Flute_XORI_sanity.btor Timeout
arbitrated_top_n2_w128_d16_e0.btor Timeout
cal122.btor Timeout
lamport_nonatomic.5.prop1-func-interl.btor Timeout
pals_lcr-var-start-time.6.1.ufo.UNBOUNDED.pals.btor Timeout
zipcpu-busdelay-p30.btor Timeout
yosyshq_appnote_123_cv32e40x-p683.btor 49.16
egcd-ll_unwindbound10.btor Timeout
qspiflash_dualflexpress_divfive-p022.btor Timeout
zipcpu-zipmmu-p38.btor 49.28
qspiflash_dualflexpress_divthree-p163.btor Timeout
arbitrated_top_n2_w16_d32_e0.btor Timeout
picorv32_mutBY_nomem-p6.btor Timeout
stack-p1.btor 1.12
qspiflash_qflexpress_divfive-p059.btor Timeout
pals_lcr.5.1.ufo.UNBOUNDED.pals+Problem12_label04.btor Timeout
krebs.3.prop1-func-interl.btor Timeout
elevator.4.prop1-func-interl.btor Timeout
arbitrated_top_n4_w16_d64_e0.btor Timeout
zipcpu-zipmmu-p02.btor 1829.63
analog_estimation_convergence_safe.btor 0.45
picorv32_mutBX_nomem-p0.btor Timeout
circular_pointer_top_w16_d128_e0.btor Timeout
ILA_Piccolo_LW_sanity.btor 2890.28
dspfilters_fastfir_second-p21.btor 776.10
arbitrated_top_n3_w32_d16_e0.btor Timeout
qspiflash_dualflexpress_divthree-p112.btor 916.85
diffeq.btor Timeout
picorv32_mutBY_nomem-p4.btor Timeout
qspiflash_dualflexpress_divthree-p007.btor Timeout
dspfilters_fastfir_second-p26.btor Timeout
yosyshq_appnote_123_cv32e40x-p352.btor Timeout
VexRiscv-regch0-20-p0.btor Timeout
Problem04_label27.btor Timeout
arbitrated_top_n4_w16_d16_e0.btor Timeout
picorv32_mutBY_nomem-p1.btor Timeout
zipcpu-pfcache-p01.btor Timeout
yosyshq_appnote_123_cv32e40x-p131.btor Timeout
a07-p14.btor 2312.84
yosyshq_appnote_123_cv32e40x-p334.btor 47.37
pals_lcr.5.ufo.BOUNDED-10.pals+Problem12_label02.btor Timeout
